"","name","taxonKey","familyKey","genusKey","acceptedScientificName","order","family","genus","decimalLongitude","decimalLatitude","elevation"
"1","Abrotanella rosulata",3138536,3065,3138519,"Abrotanella rosulata (Hook.fil.) Hook.fil.","Asterales","Asteraceae","Abrotanella",169.122206,-52.572002,NA
"2","Abrotanella rosulata",3138536,3065,3138519,"Abrotanella rosulata (Hook.fil.) Hook.fil.","Asterales","Asteraceae","Abrotanella",169.100385,-52.476811,NA
"3","Abrotanella rosulata",3138536,3065,3138519,"Abrotanella rosulata (Hook.fil.) Hook.fil.","Asterales","Asteraceae","Abrotanella",169.138785,-52.498604,NA
"4","Abrotanella rosulata",3138536,3065,3138519,"Abrotanella rosulata (Hook.fil.) Hook.fil.","Asterales","Asteraceae","Abrotanella",169.155,-52.511666,393
"5","Abrotanella rosulata",3138536,3065,3138519,"Abrotanella rosulata (Hook.fil.) Hook.fil.","Asterales","Asteraceae","Abrotanella",NA,NA,250
"6","Abrotanella inconspicua",3138529,3065,3138519,"Abrotanella inconspicua Hook.fil.","Asterales","Asteraceae","Abrotanella",169.186192,-44.864325,NA
"7","Abrotanella inconspicua",3138529,3065,3138519,"Abrotanella inconspicua Hook.fil.","Asterales","Asteraceae","Abrotanella",169.174282,-44.871777,NA
"8","Abrotanella inconspicua",3138529,3065,3138519,"Abrotanella inconspicua Hook.fil.","Asterales","Asteraceae","Abrotanella",169.185515,-45.387824,NA
"9","Abrotanella inconspicua",3138529,3065,3138519,"Abrotanella inconspicua Hook.fil.","Asterales","Asteraceae","Abrotanella",169.07426,-45.269053,NA
"10","Abrotanella inconspicua",3138529,3065,3138519,"Abrotanella inconspicua Hook.fil.","Asterales","Asteraceae","Abrotanella",169.210263,-45.35063,NA
"11","Abrotanella linearifolia",3138533,3065,3138519,"Abrotanella linearifolia A.Gray","Asterales","Asteraceae","Abrotanella",NA,NA,NA
"12","Abrotanella linearifolia",3138533,3065,3138519,"Abrotanella linearifolia A.Gray","Asterales","Asteraceae","Abrotanella",-73.1,-51.4,550
"13","Abrotanella linearifolia",3138533,3065,3138519,"Abrotanella linearifolia A.Gray","Asterales","Asteraceae","Abrotanella",-74.01666,-42.4,500
"14","Abrotanella linearifolia",3138533,3065,3138519,"Abrotanella linearifolia A.Gray","Asterales","Asteraceae","Abrotanella",NA,NA,NA
"15","Abrotanella linearifolia",3138533,3065,3138519,"Abrotanella linearifolia A.Gray","Asterales","Asteraceae","Abrotanella",NA,NA,NA
"16","Abrotanella purpurea",3138547,3065,3138519,"Abrotanella purpurea Swenson","Asterales","Asteraceae","Abrotanella",-73.16667,-51.11667,NA
