"","name","taxonKey","familyKey","genusKey","acceptedScientificName","order","family","genus","decimalLongitude","decimalLatitude","elevation"
"1","Acanthopsis disperma",5574112,2393,3233811,"Acanthopsis disperma Harv.","Lamiales","Acanthaceae","Acanthopsis",17.029736,-28.173487,NA
"2","Acanthopsis disperma",5574112,2393,3233811,"Acanthopsis disperma Harv.","Lamiales","Acanthaceae","Acanthopsis",17.676402,-27.869278,NA
"3","Acanthopsis disperma",5574112,2393,3233811,"Acanthopsis disperma Harv.","Lamiales","Acanthaceae","Acanthopsis",17.401755,-28.303549,NA
"4","Acanthopsis disperma",5574112,2393,3233811,"Acanthopsis disperma Harv.","Lamiales","Acanthaceae","Acanthopsis",17.773947,-27.652158,NA
"5","Acanthopsis disperma",5574112,2393,3233811,"Acanthopsis disperma Harv.","Lamiales","Acanthaceae","Acanthopsis",17.609816,-27.600613,NA
"6","Acanthopsis carduifolia",5574115,2393,3233811,"Acanthopsis carduifolia (L.fil.) Schinz","Lamiales","Acanthaceae","Acanthopsis",18.03011,-29.38964,NA
"7","Acanthopsis carduifolia",5574115,2393,3233811,"Acanthopsis carduifolia (L.fil.) Schinz","Lamiales","Acanthaceae","Acanthopsis",17.611667,-30.684444,NA
"8","Acanthopsis carduifolia",5574115,2393,3233811,"Acanthopsis carduifolia (L.fil.) Schinz","Lamiales","Acanthaceae","Acanthopsis",18.632259,-31.468733,NA
"9","Acanthopsis carduifolia",5574115,2393,3233811,"Acanthopsis carduifolia (L.fil.) Schinz","Lamiales","Acanthaceae","Acanthopsis",18.636667,-31.470833,NA
"10","Acanthopsis carduifolia",5574115,2393,3233811,"Acanthopsis carduifolia (L.fil.) Schinz","Lamiales","Acanthaceae","Acanthopsis",17.625,-30.625,NA
"11","Acanthopsis hoffmannseggiana",5574105,2393,3233811,"Acanthopsis hoffmannseggiana (Nees) C.B.Clarke","Lamiales","Acanthaceae","Acanthopsis",21.509919,-32.683892,NA
"12","Acanthopsis hoffmannseggiana",5574105,2393,3233811,"Acanthopsis hoffmannseggiana (Nees) C.B.Clarke","Lamiales","Acanthaceae","Acanthopsis",19.7745,-28.1272,NA
"13","Acanthopsis hoffmannseggiana",5574105,2393,3233811,"Acanthopsis hoffmannseggiana (Nees) C.B.Clarke","Lamiales","Acanthaceae","Acanthopsis",22.835278,-29.573056,NA
"14","Acanthopsis hoffmannseggiana",5574105,2393,3233811,"Acanthopsis hoffmannseggiana (Nees) C.B.Clarke","Lamiales","Acanthaceae","Acanthopsis",22.669722,-29.050278,NA
"15","Acanthopsis hoffmannseggiana",5574105,2393,3233811,"Acanthopsis hoffmannseggiana (Nees) C.B.Clarke","Lamiales","Acanthaceae","Acanthopsis",22.716667,-29.713611,NA
"16","Acanthopsis spathularis",5574090,2393,3233811,"Acanthopsis spathularis (E.Mey.) Schinz","Lamiales","Acanthaceae","Acanthopsis",17.543056,-29.316944,NA
"17","Acanthopsis spathularis",5574090,2393,3233811,"Acanthopsis spathularis (E.Mey.) Schinz","Lamiales","Acanthaceae","Acanthopsis",17.875,-30.125,NA
"18","Acanthopsis spathularis",5574090,2393,3233811,"Acanthopsis spathularis (E.Mey.) Schinz","Lamiales","Acanthaceae","Acanthopsis",NA,NA,NA
"19","Acanthopsis spathularis",5574090,2393,3233811,"Acanthopsis spathularis (E.Mey.) Schinz","Lamiales","Acanthaceae","Acanthopsis",NA,NA,NA
"20","Acanthopsis spathularis",5574090,2393,3233811,"Acanthopsis spathularis (E.Mey.) Schinz","Lamiales","Acanthaceae","Acanthopsis",17.875,-29.625,NA
"21","Acanthopsis adamanticola",7845896,2393,3233811,"Acanthopsis adamanticola H.M.Steyn","Lamiales","Acanthaceae","Acanthopsis",NA,NA,NA
"22","Acanthopsis dispermoides",7653100,2393,3233811,"Acanthopsis dispermoides H.M.Steyn","Lamiales","Acanthaceae","Acanthopsis",20.927673,-33.585905,NA
"23","Acanthopsis dispermoides",7653100,2393,3233811,"Acanthopsis dispermoides H.M.Steyn","Lamiales","Acanthaceae","Acanthopsis",20.868788,-33.766464,NA
"24","Acanthopsis dispermoides",7653100,2393,3233811,"Acanthopsis dispermoides H.M.Steyn","Lamiales","Acanthaceae","Acanthopsis",21.346008,-33.610584,NA
"25","Acanthopsis dispermoides",7653100,2393,3233811,"Acanthopsis dispermoides H.M.Steyn","Lamiales","Acanthaceae","Acanthopsis",20.898056,-33.766389,NA
"26","Acanthopsis dregeana",8511821,2393,3233811,"Acanthopsis dregeana H.M.Steyn","Lamiales","Acanthaceae","Acanthopsis",17.19,-28.7625,NA
"27","Acanthopsis erosa",8651510,2393,3233811,"Acanthopsis erosa H.M.Steyn","Lamiales","Acanthaceae","Acanthopsis",19.581944,-32.628889,NA
"28","Acanthopsis glauca",5574108,2393,3233811,"Acanthopsis glauca (E.Mey.) Schinz","Lamiales","Acanthaceae","Acanthopsis",NA,NA,NA
"29","Acanthopsis glauca",5574108,2393,3233811,"Acanthopsis glauca (E.Mey.) Schinz","Lamiales","Acanthaceae","Acanthopsis",NA,NA,NA
