"","name","taxonKey","familyKey","genusKey","acceptedScientificName","order","family","genus","decimalLongitude","decimalLatitude","elevation"
"1","Achillea latiloba",3120134,3065,3119995,"Achillea latiloba Ledeb. ex Nordm.","Asterales","Asteraceae","Achillea",40.72,40.65,2070
"2","Achillea latiloba",3120134,3065,3119995,"Achillea latiloba Ledeb. ex Nordm.","Asterales","Asteraceae","Achillea",NA,NA,NA
"3","Achillea latiloba",3120134,3065,3119995,"Achillea latiloba Ledeb. ex Nordm.","Asterales","Asteraceae","Achillea",NA,NA,NA
"4","Achillea latiloba",3120134,3065,3119995,"Achillea latiloba Ledeb. ex Nordm.","Asterales","Asteraceae","Achillea",NA,NA,2800
"5","Achillea latiloba",3120134,3065,3119995,"Achillea latiloba Ledeb. ex Nordm.","Asterales","Asteraceae","Achillea",NA,NA,NA
"6","Achillea membranacea",3120213,3065,3119995,"Achillea membranacea (Labill.) DC.","Asterales","Asteraceae","Achillea",NA,NA,560
"7","Achillea membranacea",3120213,3065,3119995,"Achillea membranacea (Labill.) DC.","Asterales","Asteraceae","Achillea",NA,NA,NA
"8","Achillea membranacea",3120213,3065,3119995,"Achillea membranacea (Labill.) DC.","Asterales","Asteraceae","Achillea",NA,NA,NA
"9","Achillea membranacea",3120213,3065,3119995,"Achillea membranacea (Labill.) DC.","Asterales","Asteraceae","Achillea",NA,NA,NA
"10","Achillea membranacea",3120213,3065,3119995,"Achillea membranacea (Labill.) DC.","Asterales","Asteraceae","Achillea",NA,NA,560
"11","Achillea pseudoaleppica",3120402,3065,3119995,"Achillea pseudoaleppica Hub.-Mor.","Asterales","Asteraceae","Achillea",NA,NA,600
"12","Achillea pseudoaleppica",3120402,3065,3119995,"Achillea pseudoaleppica Hub.-Mor.","Asterales","Asteraceae","Achillea",NA,NA,1300
"13","Achillea pseudoaleppica",3120402,3065,3119995,"Achillea pseudoaleppica Hub.-Mor.","Asterales","Asteraceae","Achillea",NA,NA,1000
"14","Achillea pseudoaleppica",3120402,3065,3119995,"Achillea pseudoaleppica Hub.-Mor.","Asterales","Asteraceae","Achillea",NA,NA,910
"15","Achillea pseudoaleppica",3120402,3065,3119995,"Achillea pseudoaleppica Hub.-Mor.","Asterales","Asteraceae","Achillea",NA,NA,1036
"16","Achillea formosa subsp. formosa",3120306,3065,3119995,"Achillea formosa subsp. formosa","Asterales","Asteraceae","Achillea",NA,NA,12500
"17","Achillea formosa subsp. formosa",3120306,3065,3119995,"Achillea formosa subsp. formosa","Asterales","Asteraceae","Achillea",NA,NA,NA
"18","Achillea formosa subsp. formosa",3120306,3065,3119995,"Achillea formosa subsp. formosa","Asterales","Asteraceae","Achillea",NA,NA,NA
"19","Achillea formosa subsp. formosa",3120306,3065,3119995,"Achillea formosa subsp. formosa","Asterales","Asteraceae","Achillea",NA,NA,NA
"20","Achillea formosa subsp. formosa",3120306,3065,3119995,"Achillea formosa subsp. formosa","Asterales","Asteraceae","Achillea",NA,NA,NA
"21","Achillea millefolium var. lanulosa",4215571,3065,3119995,"Achillea millefolium var. occidentalis DC.","Asterales","Asteraceae","Achillea",-117.1705,46.745,NA
"22","Achillea millefolium var. lanulosa",4215571,3065,3119995,"Achillea millefolium var. occidentalis DC.","Asterales","Asteraceae","Achillea",-105.285946,39.992416,NA
"23","Achillea millefolium var. lanulosa",4215571,3065,3119995,"Achillea millefolium var. occidentalis DC.","Asterales","Asteraceae","Achillea",-105.276547,39.920752,NA
"24","Achillea millefolium var. lanulosa",4215571,3065,3119995,"Achillea millefolium var. occidentalis DC.","Asterales","Asteraceae","Achillea",-105.351483,40.223786,NA
"25","Achillea millefolium var. lanulosa",4215571,3065,3119995,"Achillea millefolium var. occidentalis DC.","Asterales","Asteraceae","Achillea",-105.276547,39.920752,NA
"26","Achillea millefolium var. borealis",6303257,3065,3119995,"Achillea millefolium var. borealis (Bong.) Farw.","Asterales","Asteraceae","Achillea",-97.27219,49.88861,NA
"27","Achillea millefolium var. borealis",6303257,3065,3119995,"Achillea millefolium var. borealis (Bong.) Farw.","Asterales","Asteraceae","Achillea",-113.906026,50.940787,NA
"28","Achillea millefolium var. borealis",6303257,3065,3119995,"Achillea millefolium var. borealis (Bong.) Farw.","Asterales","Asteraceae","Achillea",-114.872841,51.05193,NA
"29","Achillea millefolium var. borealis",6303257,3065,3119995,"Achillea millefolium var. borealis (Bong.) Farw.","Asterales","Asteraceae","Achillea",-79.187649,36.039993,NA
"30","Achillea millefolium var. borealis",6303257,3065,3119995,"Achillea millefolium var. borealis (Bong.) Farw.","Asterales","Asteraceae","Achillea",-79.20565,36.026882,NA
"31","Achillea millefolium var. arenicola",4215655,3065,3119995,"Achillea millefolium var. arenicola (A.Heller) Nobs","Asterales","Asteraceae","Achillea",-124.096452,41.270135,NA
"32","Achillea millefolium var. arenicola",4215655,3065,3119995,"Achillea millefolium var. arenicola (A.Heller) Nobs","Asterales","Asteraceae","Achillea",-124.164861,40.857841,NA
"33","Achillea millefolium var. arenicola",4215655,3065,3119995,"Achillea millefolium var. arenicola (A.Heller) Nobs","Asterales","Asteraceae","Achillea",-122.175755,37.307609,NA
"34","Achillea millefolium var. arenicola",4215655,3065,3119995,"Achillea millefolium var. arenicola (A.Heller) Nobs","Asterales","Asteraceae","Achillea",-122.493842,37.620383,NA
"35","Achillea millefolium var. arenicola",4215655,3065,3119995,"Achillea millefolium var. arenicola (A.Heller) Nobs","Asterales","Asteraceae","Achillea",-122.395325,37.448657,NA
"36","Achillea millefolium var. gigantea",7789622,3065,3119995,"Achillea millefolium var. gigantea (Pollard) Nobs","Asterales","Asteraceae","Achillea",NA,NA,NA
"37","Achillea millefolium var. gigantea",7789622,3065,3119995,"Achillea millefolium var. gigantea (Pollard) Nobs","Asterales","Asteraceae","Achillea",NA,NA,NA
"38","Achillea millefolium var. gigantea",7789622,3065,3119995,"Achillea millefolium var. gigantea (Pollard) Nobs","Asterales","Asteraceae","Achillea",NA,NA,91
"39","Achillea millefolium var. gigantea",3120113,3065,3119995,"Achillea millefolium var. gigantea (Pollard) Nobs","Asterales","Asteraceae","Achillea",NA,NA,NA
