"","name","taxonKey","familyKey","genusKey","acceptedScientificName","order","family","genus","decimalLongitude","decimalLatitude","elevation"
"1","Achlys japonica",5634436,6673,3033912,"Achlys japonica Maxim.","Ranunculales","Berberidaceae","Achlys",NA,NA,NA
"2","Achlys japonica",5634436,6673,3033912,"Achlys japonica Maxim.","Ranunculales","Berberidaceae","Achlys",NA,NA,NA
"3","Achlys japonica",5634436,6673,3033912,"Achlys japonica Maxim.","Ranunculales","Berberidaceae","Achlys",141.104725,43.007089,650
"4","Achlys japonica",5634436,6673,3033912,"Achlys japonica Maxim.","Ranunculales","Berberidaceae","Achlys",NA,NA,NA
"5","Achlys japonica",5634436,6673,3033912,"Achlys japonica Maxim.","Ranunculales","Berberidaceae","Achlys",NA,NA,NA
"6","Achlys triphylla",5371714,6673,3033912,"Achlys triphylla (Sm.) DC.","Ranunculales","Berberidaceae","Achlys",-122.70797,43.592363,NA
"7","Achlys triphylla",5371714,6673,3033912,"Achlys triphylla (Sm.) DC.","Ranunculales","Berberidaceae","Achlys",-122.721458,45.536258,NA
"8","Achlys triphylla",5371714,6673,3033912,"Achlys triphylla (Sm.) DC.","Ranunculales","Berberidaceae","Achlys",-122.509646,45.491722,NA
"9","Achlys triphylla",5371714,6673,3033912,"Achlys triphylla (Sm.) DC.","Ranunculales","Berberidaceae","Achlys",-123.559862,48.46208,NA
"10","Achlys triphylla",5371714,6673,3033912,"Achlys triphylla (Sm.) DC.","Ranunculales","Berberidaceae","Achlys",-123.469319,48.752725,NA
"11","Achlys californica",5371715,6673,3033912,"Achlys californica Fukuda & Baker","Ranunculales","Berberidaceae","Achlys",-122.66568,45.555676,NA
"12","Achlys californica",5371715,6673,3033912,"Achlys californica Fukuda & Baker","Ranunculales","Berberidaceae","Achlys",-122.6743,47.101872,NA
"13","Achlys californica",5371715,6673,3033912,"Achlys californica Fukuda & Baker","Ranunculales","Berberidaceae","Achlys",-122.93492,47.730863,NA
"14","Achlys californica",5371715,6673,3033912,"Achlys californica Fukuda & Baker","Ranunculales","Berberidaceae","Achlys",-123.1725,47.597039,NA
"15","Achlys californica",5371715,6673,3033912,"Achlys californica Fukuda & Baker","Ranunculales","Berberidaceae","Achlys",-123.297112,44.63808,NA
