"","name","taxonKey","familyKey","genusKey","acceptedScientificName","order","family","genus","decimalLongitude","decimalLatitude","elevation"
"1","Aciphylla scott-thomsonii",5539005,6720,5428316,"Aciphylla scott-thomsonii Cockayne & Allan","Apiales","Apiaceae","Aciphylla",170.480379,-45.80247,NA
"2","Aciphylla scott-thomsonii",5539005,6720,5428316,"Aciphylla scott-thomsonii Cockayne & Allan","Apiales","Apiaceae","Aciphylla",170.478328,-45.80275,NA
"3","Aciphylla scott-thomsonii",5539005,6720,5428316,"Aciphylla scott-thomsonii Cockayne & Allan","Apiales","Apiaceae","Aciphylla",170.484645,-45.801179,NA
"4","Aciphylla scott-thomsonii",5539005,6720,5428316,"Aciphylla scott-thomsonii Cockayne & Allan","Apiales","Apiaceae","Aciphylla",170.485774,-45.801034,NA
"5","Aciphylla scott-thomsonii",5539005,6720,5428316,"Aciphylla scott-thomsonii Cockayne & Allan","Apiales","Apiaceae","Aciphylla",170.463097,-45.83582,NA
"6","Aciphylla hectori",5539101,6720,5428316,"Aciphylla hectori Buchanan","Apiales","Apiaceae","Aciphylla",168.816667,-45.483333,NA
"7","Aciphylla hectori",5539101,6720,5428316,"Aciphylla hectori Buchanan","Apiales","Apiaceae","Aciphylla",168.816667,-45.483333,NA
"8","Aciphylla hectori",5539101,6720,5428316,"Aciphylla hectori Buchanan","Apiales","Apiaceae","Aciphylla",168.833333,-45.483333,NA
"9","Aciphylla hectori",5539101,6720,5428316,"Aciphylla hectori Buchanan","Apiales","Apiaceae","Aciphylla",169.717246,-44.839187,NA
"10","Aciphylla hectori",5539101,6720,5428316,"Aciphylla hectori Buchanan","Apiales","Apiaceae","Aciphylla",169.186125,-45.390673,NA
"11","Aciphylla horrida",5539092,6720,5428316,"Aciphylla horrida W.R.B.Oliv.","Apiales","Apiaceae","Aciphylla",168.00305,-44.769182,NA
"12","Aciphylla horrida",5539092,6720,5428316,"Aciphylla horrida W.R.B.Oliv.","Apiales","Apiaceae","Aciphylla",171.480168,-42.184725,NA
"13","Aciphylla horrida",5539092,6720,5428316,"Aciphylla horrida W.R.B.Oliv.","Apiales","Apiaceae","Aciphylla",168.270876,-44.68954,NA
"14","Aciphylla horrida",5539092,6720,5428316,"Aciphylla horrida W.R.B.Oliv.","Apiales","Apiaceae","Aciphylla",168.005157,-44.764594,NA
"15","Aciphylla horrida",5539092,6720,5428316,"Aciphylla horrida W.R.B.Oliv.","Apiales","Apiaceae","Aciphylla",168.271403,-44.694686,NA
"16","Aciphylla dobsonii",5539125,6720,5428316,"Aciphylla dobsonii Hook.fil.","Apiales","Apiaceae","Aciphylla",169.760415,-44.254965,NA
"17","Aciphylla dobsonii",5539125,6720,5428316,"Aciphylla dobsonii Hook.fil.","Apiales","Apiaceae","Aciphylla",169.775939,-44.298721,NA
"18","Aciphylla dobsonii",5539125,6720,5428316,"Aciphylla dobsonii Hook.fil.","Apiales","Apiaceae","Aciphylla",169.778853,-44.294375,NA
"19","Aciphylla dobsonii",5539125,6720,5428316,"Aciphylla dobsonii Hook.fil.","Apiales","Apiaceae","Aciphylla",168.666667,-45,NA
"20","Aciphylla dobsonii",5539125,6720,5428316,"Aciphylla dobsonii Hook.fil.","Apiales","Apiaceae","Aciphylla",169.76063,-44.235098,NA
"21","Aciphylla glacialis",5539110,6720,5428316,"Aciphylla glacialis F.Muell. ex Benth.","Apiales","Apiaceae","Aciphylla",148.32473,-36.441853,NA
"22","Aciphylla glacialis",5539110,6720,5428316,"Aciphylla glacialis F.Muell. ex Benth.","Apiales","Apiaceae","Aciphylla",148.356353,-36.352178,NA
"23","Aciphylla glacialis",5539110,6720,5428316,"Aciphylla glacialis F.Muell. ex Benth.","Apiales","Apiaceae","Aciphylla",147.316245,-36.735995,NA
"24","Aciphylla glacialis",5539110,6720,5428316,"Aciphylla glacialis F.Muell. ex Benth.","Apiales","Apiaceae","Aciphylla",148.345591,-36.165726,NA
"25","Aciphylla glacialis",5539110,6720,5428316,"Aciphylla glacialis F.Muell. ex Benth.","Apiales","Apiaceae","Aciphylla",147.132443,-36.975525,NA
"26","Aciphylla kirkii",5539075,6720,5428316,"Aciphylla kirkii Buchanan","Apiales","Apiaceae","Aciphylla",168.883056,-44.63079,NA
"27","Aciphylla kirkii",5539075,6720,5428316,"Aciphylla kirkii Buchanan","Apiales","Apiaceae","Aciphylla",169.156152,-44.854074,NA
"28","Aciphylla kirkii",5539075,6720,5428316,"Aciphylla kirkii Buchanan","Apiales","Apiaceae","Aciphylla",168.876925,-44.633681,NA
"29","Aciphylla kirkii",5539075,6720,5428316,"Aciphylla kirkii Buchanan","Apiales","Apiaceae","Aciphylla",168.947296,-44.872446,NA
"30","Aciphylla kirkii",5539075,6720,5428316,"Aciphylla kirkii Buchanan","Apiales","Apiaceae","Aciphylla",168.946277,-44.872457,NA
"31","Aciphylla lyallii",5539059,6720,5428316,"Aciphylla lyallii Hook.fil.","Apiales","Apiaceae","Aciphylla",167.85606,-45.706533,NA
"32","Aciphylla lyallii",5539059,6720,5428316,"Aciphylla lyallii Hook.fil.","Apiales","Apiaceae","Aciphylla",171.519991,-42.901626,NA
"33","Aciphylla lyallii",5539059,6720,5428316,"Aciphylla lyallii Hook.fil.","Apiales","Apiaceae","Aciphylla",167.515032,-45.670045,NA
"34","Aciphylla lyallii",5539059,6720,5428316,"Aciphylla lyallii Hook.fil.","Apiales","Apiaceae","Aciphylla",167.394666,-45.761456,NA
"35","Aciphylla lyallii",5539059,6720,5428316,"Aciphylla lyallii Hook.fil.","Apiales","Apiaceae","Aciphylla",167.38658,-45.750828,NA
"36","Aciphylla dieffenbachii",5539134,6720,5428316,"Aciphylla dieffenbachii (F.Muell.) Kirk","Apiales","Apiaceae","Aciphylla",-176.28789,-43.796807,NA
"37","Aciphylla dieffenbachii",5539134,6720,5428316,"Aciphylla dieffenbachii (F.Muell.) Kirk","Apiales","Apiaceae","Aciphylla",-176.202576,-43.674928,NA
"38","Aciphylla dieffenbachii",5539134,6720,5428316,"Aciphylla dieffenbachii (F.Muell.) Kirk","Apiales","Apiaceae","Aciphylla",-176.282377,-43.791604,NA
"39","Aciphylla dieffenbachii",5539134,6720,5428316,"Aciphylla dieffenbachii (F.Muell.) Kirk","Apiales","Apiaceae","Aciphylla",-176.319432,-43.716742,NA
"40","Aciphylla dieffenbachii",5539134,6720,5428316,"Aciphylla dieffenbachii (F.Muell.) Kirk","Apiales","Apiaceae","Aciphylla",-176.20865,-43.752346,NA
"41","Aciphylla similis",5539001,6720,5428316,"Aciphylla similis Cheeseman","Apiales","Apiaceae","Aciphylla",NA,NA,NA
"42","Aciphylla similis",5539001,6720,5428316,"Aciphylla similis Cheeseman","Apiales","Apiaceae","Aciphylla",NA,NA,NA
"43","Aciphylla similis",5539001,6720,5428316,"Aciphylla similis Cheeseman","Apiales","Apiaceae","Aciphylla",NA,NA,NA
"44","Aciphylla similis",5539001,6720,5428316,"Aciphylla similis Cheeseman","Apiales","Apiaceae","Aciphylla",171.554453,-42.965981,NA
"45","Aciphylla similis",5539001,6720,5428316,"Aciphylla similis Cheeseman","Apiales","Apiaceae","Aciphylla",171.521389,-42.902984,NA
"46","Aciphylla dissecta",5539130,6720,5428316,"Aciphylla dissecta (Kirk) W.R.B.Oliv.","Apiales","Apiaceae","Aciphylla",175.572721,-40.917547,NA
"47","Aciphylla dissecta",5539130,6720,5428316,"Aciphylla dissecta (Kirk) W.R.B.Oliv.","Apiales","Apiaceae","Aciphylla",175.589696,-40.936976,NA
"48","Aciphylla dissecta",5539130,6720,5428316,"Aciphylla dissecta (Kirk) W.R.B.Oliv.","Apiales","Apiaceae","Aciphylla",175.537551,-40.901716,NA
"49","Aciphylla dissecta",5539130,6720,5428316,"Aciphylla dissecta (Kirk) W.R.B.Oliv.","Apiales","Apiaceae","Aciphylla",175.423939,-40.878647,NA
"50","Aciphylla dissecta",5539130,6720,5428316,"Aciphylla dissecta (Kirk) W.R.B.Oliv.","Apiales","Apiaceae","Aciphylla",175.448613,-40.91129,NA
"51","Aciphylla colensoi",5928318,6720,5428316,"Aciphylla colensoi Hook.fil.","Apiales","Apiaceae","Aciphylla",172.307222,-41.550278,NA
"52","Aciphylla colensoi",5928318,6720,5428316,"Aciphylla colensoi Hook.fil.","Apiales","Apiaceae","Aciphylla",175.407188,-40.871026,NA
"53","Aciphylla colensoi",5928318,6720,5428316,"Aciphylla colensoi Hook.fil.","Apiales","Apiaceae","Aciphylla",172.286082,-42.551638,NA
"54","Aciphylla colensoi",5928318,6720,5428316,"Aciphylla colensoi Hook.fil.","Apiales","Apiaceae","Aciphylla",172.212305,-42.546197,NA
"55","Aciphylla colensoi",5928318,6720,5428316,"Aciphylla colensoi Hook.fil.","Apiales","Apiaceae","Aciphylla",172.26465,-42.555109,NA
"56","Aciphylla simplicifolia",5538987,6720,5428316,"Aciphylla simplicifolia F.Muell. ex Benth.","Apiales","Apiaceae","Aciphylla",147.996093,-37.141341,NA
"57","Aciphylla simplicifolia",5538987,6720,5428316,"Aciphylla simplicifolia F.Muell. ex Benth.","Apiales","Apiaceae","Aciphylla",148.29094,-36.48092,1980
"58","Aciphylla simplicifolia",5538987,6720,5428316,"Aciphylla simplicifolia F.Muell. ex Benth.","Apiales","Apiaceae","Aciphylla",148.37402,-36.30405,1900
"59","Aciphylla simplicifolia",5538987,6720,5428316,"Aciphylla simplicifolia F.Muell. ex Benth.","Apiales","Apiaceae","Aciphylla",148.29094,-36.48092,1980
