"","name","taxonKey","familyKey","genusKey","acceptedScientificName","order","family","genus","decimalLongitude","decimalLatitude","elevation"
"1","Adenostyles leucophylla",3133716,3065,3133701,"Adenostyles leucophylla (Willd.) Rchb.","Asterales","Asteraceae","Adenostyles",6.487381,44.863946,NA
"2","Adenostyles leucophylla",3133716,3065,3133701,"Adenostyles leucophylla (Willd.) Rchb.","Asterales","Asteraceae","Adenostyles",10.00736,46.40476,2270.5
"3","Adenostyles leucophylla",3133716,3065,3133701,"Adenostyles leucophylla (Willd.) Rchb.","Asterales","Asteraceae","Adenostyles",9.09452,46.33179,2372
"4","Adenostyles leucophylla",3133716,3065,3133701,"Adenostyles leucophylla (Willd.) Rchb.","Asterales","Asteraceae","Adenostyles",10.00736,46.40476,2250
"5","Adenostyles leucophylla",3133716,3065,3133701,"Adenostyles leucophylla (Willd.) Rchb.","Asterales","Asteraceae","Adenostyles",9.2288,46.46472,2152
"6","Adenostyles alliariae",3133702,3065,3133701,"Adenostyles alliariae (Gouan) A.Kern.","Asterales","Asteraceae","Adenostyles",6.23324,46.51739,1330
"7","Adenostyles alliariae",3133702,3065,3133701,"Adenostyles alliariae (Gouan) A.Kern.","Asterales","Asteraceae","Adenostyles",7.27297,47.42318,676
"8","Adenostyles alliariae",3133702,3065,3133701,"Adenostyles alliariae (Gouan) A.Kern.","Asterales","Asteraceae","Adenostyles",7.27297,47.42318,594
"9","Adenostyles alliariae",3133702,3065,3133701,"Adenostyles alliariae (Gouan) A.Kern.","Asterales","Asteraceae","Adenostyles",7.27297,47.42318,614.5
"10","Adenostyles alliariae",3133702,3065,3133701,"Adenostyles alliariae (Gouan) A.Kern.","Asterales","Asteraceae","Adenostyles",7.27297,47.42318,609
"11","Adenostyles glabra",3133738,3065,3133701,"Adenostyles alpina subsp. alpina","Asterales","Asteraceae","Adenostyles",11.237222,47.449014,NA
"12","Adenostyles glabra",3133738,3065,3133701,"Adenostyles alpina subsp. alpina","Asterales","Asteraceae","Adenostyles",14.033231,47.79616,NA
"13","Adenostyles glabra",3133738,3065,3133701,"Adenostyles alpina subsp. alpina","Asterales","Asteraceae","Adenostyles",11.35,47.64,NA
"14","Adenostyles glabra",3133738,3065,3133701,"Adenostyles alpina subsp. alpina","Asterales","Asteraceae","Adenostyles",10.94,47.53,NA
"15","Adenostyles glabra",3133738,3065,3133701,"Adenostyles alpina subsp. alpina","Asterales","Asteraceae","Adenostyles",11.95,47.7,NA
"16","Adenostyles alpina subsp. alpina",3133738,3065,3133701,"Adenostyles alpina subsp. alpina","Asterales","Asteraceae","Adenostyles",11.237222,47.449014,NA
"17","Adenostyles alpina subsp. alpina",7223542,3065,3133701,"Adenostyles alpina subsp. alpina","Asterales","Asteraceae","Adenostyles",5.77983,44.06485,NA
"18","Adenostyles alpina subsp. alpina",3133738,3065,3133701,"Adenostyles alpina subsp. alpina","Asterales","Asteraceae","Adenostyles",14.033231,47.79616,NA
"19","Adenostyles alpina subsp. alpina",3133738,3065,3133701,"Adenostyles alpina subsp. alpina","Asterales","Asteraceae","Adenostyles",11.35,47.64,NA
"20","Adenostyles alpina subsp. alpina",7223542,3065,3133701,"Adenostyles alpina subsp. alpina","Asterales","Asteraceae","Adenostyles",5.59576,45.07317,NA
"21","Adenostyles alpina subsp. briquetii",4208514,3065,3133701,"Adenostyles briquetii Gamisans","Asterales","Asteraceae","Adenostyles",9.11254,42.22918,NA
"22","Adenostyles alpina subsp. briquetii",4208514,3065,3133701,"Adenostyles briquetii Gamisans","Asterales","Asteraceae","Adenostyles",9.11254,42.22918,NA
"23","Adenostyles alpina subsp. briquetii",4208514,3065,3133701,"Adenostyles briquetii Gamisans","Asterales","Asteraceae","Adenostyles",9.11254,42.22918,NA
"24","Adenostyles alpina subsp. briquetii",4208514,3065,3133701,"Adenostyles briquetii Gamisans","Asterales","Asteraceae","Adenostyles",9.11964,41.99289,NA
"25","Adenostyles alpina subsp. briquetii",4208514,3065,3133701,"Adenostyles briquetii Gamisans","Asterales","Asteraceae","Adenostyles",9.11964,41.99289,NA
"26","Adenostyles alpina subsp. pyrenaica",7483174,3065,3133701,"Adenostyles alpina subsp. pyrenaica (Lange) Dillenb. & Kadereit","Asterales","Asteraceae","Adenostyles",-0.36952,42.98153,NA
