"","name","taxonKey","familyKey","genusKey","acceptedScientificName","order","family","genus","decimalLongitude","decimalLatitude","elevation"
"1","Aegiphila monstrosa",3891557,2497,9156446,"Aegiphila monstrosa Moldenke","Lamiales","Lamiaceae","Aegiphila",-85.858361,13.880056,461
"2","Aegiphila monstrosa",3891557,2497,9156446,"Aegiphila monstrosa Moldenke","Lamiales","Lamiaceae","Aegiphila",-93.777427,16.927312,NA
"3","Aegiphila monstrosa",3891557,2497,9156446,"Aegiphila monstrosa Moldenke","Lamiales","Lamiaceae","Aegiphila",-95.045833,18.448333,423
"4","Aegiphila monstrosa",3891557,2497,9156446,"Aegiphila monstrosa Moldenke","Lamiales","Lamiaceae","Aegiphila",-88.451667,17.300833,45
"5","Aegiphila monstrosa",3891557,2497,9156446,"Aegiphila monstrosa Moldenke","Lamiales","Lamiaceae","Aegiphila",-94.761111,17.239444,191
"6","Aegiphila cephalophora",3893257,2497,9156446,"Aegiphila cephalophora Standl.","Lamiales","Lamiaceae","Aegiphila",-84.059167,10.565278,148
"7","Aegiphila cephalophora",3893257,2497,9156446,"Aegiphila cephalophora Standl.","Lamiales","Lamiaceae","Aegiphila",-83.528611,8.678333,100
"8","Aegiphila cephalophora",3893257,2497,9156446,"Aegiphila cephalophora Standl.","Lamiales","Lamiaceae","Aegiphila",-83.528611,8.678333,100
"9","Aegiphila cephalophora",3893257,2497,9156446,"Aegiphila cephalophora Standl.","Lamiales","Lamiaceae","Aegiphila",-83.528611,8.678333,100
"10","Aegiphila cephalophora",3893257,2497,9156446,"Aegiphila cephalophora Standl.","Lamiales","Lamiaceae","Aegiphila",NA,NA,NA
"11","Aegiphila panamensis",3891222,2497,9156446,"Aegiphila panamensis Moldenke","Lamiales","Lamiaceae","Aegiphila",NA,NA,NA
"12","Aegiphila panamensis",3891222,2497,9156446,"Aegiphila panamensis Moldenke","Lamiales","Lamiaceae","Aegiphila",-89.39044,14.38119,1230
"13","Aegiphila panamensis",7307757,2497,9156446,"Aegiphila panamensis Moldenke","Lamiales","Lamiaceae","Aegiphila",-73.436197,6.684412,1642
