"","name","taxonKey","familyKey","genusKey","acceptedScientificName","order","family","genus","decimalLongitude","decimalLatitude","elevation"
"1","Aerides leeana",2811067,7689,2811056,"Aerides leeana Rchb.f.","Asparagales","Orchidaceae","Aerides",NA,NA,NA
"2","Aerides leeana",2811071,7689,2811056,"Aerides leeana Rchb.f.","Asparagales","Orchidaceae","Aerides",NA,NA,NA
"3","Aerides leeana",2811067,7689,2811056,"Aerides leeana Rchb.f.","Asparagales","Orchidaceae","Aerides",NA,NA,NA
"4","Aerides leeana",2811067,7689,2811056,"Aerides leeana Rchb.f.","Asparagales","Orchidaceae","Aerides",-72.25583,41.81027,NA
"5","Aerides leeana",2811071,7689,2811056,"Aerides leeana Rchb.f.","Asparagales","Orchidaceae","Aerides",NA,NA,NA
"6","Aerides lawrenceae",4934918,7689,2811056,"Aerides lawrenceae Rchb.f.","Asparagales","Orchidaceae","Aerides",NA,NA,53
"7","Aerides lawrenceae",2811165,7689,2811056,"Aerides lawrenceae Rchb.f.","Asparagales","Orchidaceae","Aerides",NA,NA,NA
"8","Aerides lawrenceae",2811165,7689,2811056,"Aerides lawrenceae Rchb.f.","Asparagales","Orchidaceae","Aerides",NA,NA,NA
"9","Aerides lawrenceae",4934918,7689,2811056,"Aerides lawrenceae Rchb.f.","Asparagales","Orchidaceae","Aerides",NA,NA,NA
"10","Aerides lawrenceae",2811167,7689,2811056,"Aerides lawrenceae Rchb.f.","Asparagales","Orchidaceae","Aerides",NA,NA,NA
"11","Aerides inflexa",2811142,7689,2811056,"Aerides inflexa Teijsm. & Binn.","Asparagales","Orchidaceae","Aerides",121.426,-2.6568,NA
"12","Aerides inflexa",2811142,7689,2811056,"Aerides inflexa Teijsm. & Binn.","Asparagales","Orchidaceae","Aerides",121.283333,-2.483333,NA
"13","Aerides inflexa",2811142,7689,2811056,"Aerides inflexa Teijsm. & Binn.","Asparagales","Orchidaceae","Aerides",121.283333,-2.483333,NA
"14","Aerides inflexa",2811142,7689,2811056,"Aerides inflexa Teijsm. & Binn.","Asparagales","Orchidaceae","Aerides",121.283333,-2.483333,NA
"15","Aerides inflexa",2811142,7689,2811056,"Aerides inflexa Teijsm. & Binn.","Asparagales","Orchidaceae","Aerides",NA,NA,NA
"16","Aerides thibautiana",2811149,7689,2811056,"Aerides thibautiana Rchb.f.","Asparagales","Orchidaceae","Aerides",119.5,-0.5,NA
"17","Aerides thibautiana",2811149,7689,2811056,"Aerides thibautiana Rchb.f.","Asparagales","Orchidaceae","Aerides",121.75,-2.25,NA
"18","Aerides thibautiana",2811149,7689,2811056,"Aerides thibautiana Rchb.f.","Asparagales","Orchidaceae","Aerides",121.75,-2.25,NA
"19","Aerides thibautiana",2811149,7689,2811056,"Aerides thibautiana Rchb.f.","Asparagales","Orchidaceae","Aerides",124.1556,0.9411,NA
"20","Aerides thibautiana",2811149,7689,2811056,"Aerides thibautiana Rchb.f.","Asparagales","Orchidaceae","Aerides",NA,NA,NA
"21","Aerides krabiensis",2811066,7689,2811056,"Aerides krabiensis Seidenf.","Asparagales","Orchidaceae","Aerides",-72.25583,41.81027,NA
"22","Aerides krabiensis",2811066,7689,2811056,"Aerides krabiensis Seidenf.","Asparagales","Orchidaceae","Aerides",NA,NA,NA
"23","Aerides krabiensis",2811066,7689,2811056,"Aerides krabiensis Seidenf.","Asparagales","Orchidaceae","Aerides",NA,NA,NA
"24","Aerides krabiensis",2811066,7689,2811056,"Aerides krabiensis Seidenf.","Asparagales","Orchidaceae","Aerides",NA,NA,NA
"25","Aerides huttonii",2811170,7689,2811056,"Aerides huttonii (Hook.f.) J.H.Veitch","Asparagales","Orchidaceae","Aerides",NA,NA,NA
"26","Aerides houlletiana",2811144,7689,2811056,"Aerides houlletiana Rchb.f.","Asparagales","Orchidaceae","Aerides",101.855696,15.987154,NA
"27","Aerides houlletiana",2811144,7689,2811056,"Aerides houlletiana Rchb.f.","Asparagales","Orchidaceae","Aerides",NA,NA,NA
"28","Aerides houlletiana",2811144,7689,2811056,"Aerides houlletiana Rchb.f.","Asparagales","Orchidaceae","Aerides",NA,NA,NA
"29","Aerides houlletiana",2811144,7689,2811056,"Aerides houlletiana Rchb.f.","Asparagales","Orchidaceae","Aerides",NA,NA,NA
