"","name","taxonKey","familyKey","genusKey","acceptedScientificName","order","family","genus","decimalLongitude","decimalLatitude","elevation"
"1","Afzelia bipindensis",5358291,5386,2968148,"Afzelia bipindensis Harms","Fabales","Fabaceae","Afzelia",11.896063,2.167441,NA
"2","Afzelia bipindensis",5358291,5386,2968148,"Afzelia bipindensis Harms","Fabales","Fabaceae","Afzelia",10.572796,0.378437,NA
"3","Afzelia bipindensis",5358291,5386,2968148,"Afzelia bipindensis Harms","Fabales","Fabaceae","Afzelia",9.999,4.928,806
"4","Afzelia bipindensis",5358291,5386,2968148,"Afzelia bipindensis Harms","Fabales","Fabaceae","Afzelia",9.999,4.928,806
"5","Afzelia bipindensis",5358291,5386,2968148,"Afzelia bipindensis Harms","Fabales","Fabaceae","Afzelia",9.999,4.928,806
"6","Afzelia africana",5358300,5386,2968148,"Afzelia africana Sm. ex Pers.","Fabales","Fabaceae","Afzelia",2.277644,11.855469,NA
"7","Afzelia africana",5358300,5386,2968148,"Afzelia africana Sm. ex Pers.","Fabales","Fabaceae","Afzelia",2.296894,11.795559,NA
"8","Afzelia africana",5358300,5386,2968148,"Afzelia africana Sm. ex Pers.","Fabales","Fabaceae","Afzelia",2.25806,11.627552,NA
"9","Afzelia africana",5358300,5386,2968148,"Afzelia africana Sm. ex Pers.","Fabales","Fabaceae","Afzelia",2.218922,11.933537,NA
"10","Afzelia africana",5358300,5386,2968148,"Afzelia africana Sm. ex Pers.","Fabales","Fabaceae","Afzelia",1.226044,9.85202,NA
"11","Afzelia quanzensis",5358281,5386,2968148,"Afzelia quanzensis Welw.","Fabales","Fabaceae","Afzelia",31.965695,-25.444417,NA
"12","Afzelia quanzensis",5358281,5386,2968148,"Afzelia quanzensis Welw.","Fabales","Fabaceae","Afzelia",38.561806,-6.427083,156
"13","Afzelia quanzensis",5358281,5386,2968148,"Afzelia quanzensis Welw.","Fabales","Fabaceae","Afzelia",32.47977,-27.005451,NA
"14","Afzelia quanzensis",5358281,5386,2968148,"Afzelia quanzensis Welw.","Fabales","Fabaceae","Afzelia",32.474,-26.9959,NA
"15","Afzelia quanzensis",5358281,5386,2968148,"Afzelia quanzensis Welw.","Fabales","Fabaceae","Afzelia",38.549,-6.429722,144
"16","Afzelia xylocarpa",5358297,5386,2968148,"Afzelia xylocarpa (Kurz) Craib","Fabales","Fabaceae","Afzelia",100.8,22,NA
"17","Afzelia xylocarpa",5358297,5386,2968148,"Afzelia xylocarpa (Kurz) Craib","Fabales","Fabaceae","Afzelia",NA,NA,NA
"18","Afzelia xylocarpa",5358297,5386,2968148,"Afzelia xylocarpa (Kurz) Craib","Fabales","Fabaceae","Afzelia",NA,NA,NA
"19","Afzelia xylocarpa",5358297,5386,2968148,"Afzelia xylocarpa (Kurz) Craib","Fabales","Fabaceae","Afzelia",107.362518,11.474642,NA
"20","Afzelia xylocarpa",5358297,5386,2968148,"Afzelia xylocarpa (Kurz) Craib","Fabales","Fabaceae","Afzelia",NA,NA,NA
"21","Afzelia peturei",5358286,5386,2968148,"Afzelia peturei De Wild.","Fabales","Fabaceae","Afzelia",24.183333,-7.516667,NA
"22","Afzelia peturei",5358286,5386,2968148,"Afzelia peturei De Wild.","Fabales","Fabaceae","Afzelia",27.35,-11.55,NA
"23","Afzelia peturei",5358286,5386,2968148,"Afzelia peturei De Wild.","Fabales","Fabaceae","Afzelia",NA,NA,NA
"24","Afzelia peturei",5358286,5386,2968148,"Afzelia peturei De Wild.","Fabales","Fabaceae","Afzelia",NA,NA,NA
"25","Afzelia peturei",5358286,5386,2968148,"Afzelia peturei De Wild.","Fabales","Fabaceae","Afzelia",NA,NA,NA
"26","Afzelia bracteata",5358287,5386,2968148,"Afzelia parviflora (Vahl) Hepper","Fabales","Fabaceae","Afzelia",-12.083333,10.383333,NA
"27","Afzelia bracteata",5358287,5386,2968148,"Afzelia parviflora (Vahl) Hepper","Fabales","Fabaceae","Afzelia",-14.45,10.754,30
"28","Afzelia bracteata",5358287,5386,2968148,"Afzelia parviflora (Vahl) Hepper","Fabales","Fabaceae","Afzelia",-12.3,11.18,NA
"29","Afzelia bracteata",5358287,5386,2968148,"Afzelia parviflora (Vahl) Hepper","Fabales","Fabaceae","Afzelia",-7.788,6.174,NA
"30","Afzelia bracteata",5358287,5386,2968148,"Afzelia parviflora (Vahl) Hepper","Fabales","Fabaceae","Afzelia",NA,NA,NA
"31","Afzelia pachyloba",5358290,5386,2968148,"Afzelia pachyloba Harms","Fabales","Fabaceae","Afzelia",10.593961,0.392111,NA
"32","Afzelia pachyloba",5358290,5386,2968148,"Afzelia pachyloba Harms","Fabales","Fabaceae","Afzelia",9.02,4.752,52
"33","Afzelia pachyloba",5358290,5386,2968148,"Afzelia pachyloba Harms","Fabales","Fabaceae","Afzelia",10.439348,-1.583107,NA
"34","Afzelia pachyloba",5358290,5386,2968148,"Afzelia pachyloba Harms","Fabales","Fabaceae","Afzelia",10.440007,-1.591146,NA
"35","Afzelia pachyloba",5358290,5386,2968148,"Afzelia pachyloba Harms","Fabales","Fabaceae","Afzelia",10.527352,-1.549025,NA
"36","Afzelia javanica",5358283,5386,2968148,"Afzelia javanica (Miq.) J.Léonard","Fabales","Fabaceae","Afzelia",130.90102,-12.398715,NA
"37","Afzelia javanica",5358283,5386,2968148,"Afzelia javanica (Miq.) J.Léonard","Fabales","Fabaceae","Afzelia",108.65,-7.683333,NA
"38","Afzelia javanica",5358283,5386,2968148,"Afzelia javanica (Miq.) J.Léonard","Fabales","Fabaceae","Afzelia",108.65,-7.6833,NA
"39","Afzelia javanica",5358283,5386,2968148,"Afzelia javanica (Miq.) J.Léonard","Fabales","Fabaceae","Afzelia",NA,NA,25
"40","Afzelia javanica",5358283,5386,2968148,"Afzelia javanica (Miq.) J.Léonard","Fabales","Fabaceae","Afzelia",NA,NA,25
"41","Afzelia rhomboidea",7479883,5386,2968148,"Afzelia rhomboidea (Blanco) Fern.-Vill.","Fabales","Fabaceae","Afzelia",122.377556,17.064669,NA
"42","Afzelia rhomboidea",7479883,5386,2968148,"Afzelia rhomboidea (Blanco) Fern.-Vill.","Fabales","Fabaceae","Afzelia",122.403,17.259511,NA
"43","Afzelia rhomboidea",7479883,5386,2968148,"Afzelia rhomboidea (Blanco) Fern.-Vill.","Fabales","Fabaceae","Afzelia",NA,NA,NA
"44","Afzelia rhomboidea",7479883,5386,2968148,"Afzelia rhomboidea (Blanco) Fern.-Vill.","Fabales","Fabaceae","Afzelia",121.940026,14.672186,NA
"45","Afzelia rhomboidea",7479883,5386,2968148,"Afzelia rhomboidea (Blanco) Fern.-Vill.","Fabales","Fabaceae","Afzelia",121.924699,14.961314,NA
"46","Afzelia martabanica",5358288,5386,2968148,"Afzelia martabanica (Prain) J.Léonard","Fabales","Fabaceae","Afzelia",NA,NA,NA
"47","Afzelia bella var. gracilior",6710051,5386,2968148,"Afzelia bella var. gracilior Keay","Fabales","Fabaceae","Afzelia",-7.033806,6.879203,NA
"48","Afzelia bella var. gracilior",6710051,5386,2968148,"Afzelia bella var. gracilior Keay","Fabales","Fabaceae","Afzelia",NA,NA,NA
"49","Afzelia bella var. gracilior",6710051,5386,2968148,"Afzelia bella var. gracilior Keay","Fabales","Fabaceae","Afzelia",-10.345833,7.355333,NA
"50","Afzelia bella var. gracilior",6710051,5386,2968148,"Afzelia bella var. gracilior Keay","Fabales","Fabaceae","Afzelia",-11.166667,9.216667,NA
"51","Afzelia bella var. gracilior",6710051,5386,2968148,"Afzelia bella var. gracilior Keay","Fabales","Fabaceae","Afzelia",NA,NA,NA
"52","Afzelia parviflora",5629997,5386,2968148,"Afzelia parviflora (Vahl) Hepper","Fabales","Fabaceae","Afzelia",NA,NA,NA
"53","Afzelia parviflora",5629997,5386,2968148,"Afzelia parviflora (Vahl) Hepper","Fabales","Fabaceae","Afzelia",-10.229333,6.047833,NA
"54","Afzelia parviflora",5629997,5386,2968148,"Afzelia parviflora (Vahl) Hepper","Fabales","Fabaceae","Afzelia",-11.689194,9.331111,NA
"55","Afzelia parviflora",5629997,5386,2968148,"Afzelia parviflora (Vahl) Hepper","Fabales","Fabaceae","Afzelia",-11.689194,9.331111,NA
"56","Afzelia parviflora",5629997,5386,2968148,"Afzelia parviflora (Vahl) Hepper","Fabales","Fabaceae","Afzelia",-11.335,6.698833,NA
