"","name","taxonKey","familyKey","genusKey","acceptedScientificName","order","family","genus","decimalLongitude","decimalLatitude","elevation"
"1","Alchemilla tenerifolia",3028418,5015,3027437,"Alchemilla tenerifolia S.E.Fröhner","Rosales","Rosaceae","Alchemilla",1.667,42.586,1830
"2","Alchemilla tenerifolia",3028418,5015,3027437,"Alchemilla tenerifolia S.E.Fröhner","Rosales","Rosaceae","Alchemilla",1.667,42.595,1830
"3","Alchemilla tenerifolia",3028418,5015,3027437,"Alchemilla tenerifolia S.E.Fröhner","Rosales","Rosaceae","Alchemilla",NA,NA,1670
"4","Alchemilla tenerifolia",3028418,5015,3027437,"Alchemilla tenerifolia S.E.Fröhner","Rosales","Rosaceae","Alchemilla",0.41528,42.56778,1955
"5","Alchemilla tenerifolia",3028418,5015,3027437,"Alchemilla tenerifolia S.E.Fröhner","Rosales","Rosaceae","Alchemilla",NA,NA,NA
"6","Alchemilla tenuis",3027730,5015,3027437,"Alchemilla tenuis Buser","Rosales","Rosaceae","Alchemilla",7.08025,46.52323,1626.5
"7","Alchemilla tenuis",3027730,5015,3027437,"Alchemilla tenuis Buser","Rosales","Rosaceae","Alchemilla",7.08025,46.52323,1547.5
"8","Alchemilla tenuis",3027730,5015,3027437,"Alchemilla tenuis Buser","Rosales","Rosaceae","Alchemilla",7.47133,46.70371,1750
"9","Alchemilla tenuis",3027730,5015,3027437,"Alchemilla tenuis Buser","Rosales","Rosaceae","Alchemilla",10.81028,44.11667,1800
"10","Alchemilla tenuis",3027730,5015,3027437,"Alchemilla tenuis Buser","Rosales","Rosaceae","Alchemilla",10.46833,44.21056,1450
"11","Alchemilla transiens",8901057,5015,3027437,"Alchemilla transiens (Buser) Buser","Rosales","Rosaceae","Alchemilla",7.08351,46.02848,2070
"12","Alchemilla transiens",8901057,5015,3027437,"Alchemilla transiens (Buser) Buser","Rosales","Rosaceae","Alchemilla",7.08351,46.02848,2400
"13","Alchemilla transiens",8901057,5015,3027437,"Alchemilla transiens (Buser) Buser","Rosales","Rosaceae","Alchemilla",10.30083,44.285,1600
"14","Alchemilla transiens",8901057,5015,3027437,"Alchemilla transiens (Buser) Buser","Rosales","Rosaceae","Alchemilla",7.07602,47.1529,1508.5
"15","Alchemilla transiens",8901057,5015,3027437,"Alchemilla transiens (Buser) Buser","Rosales","Rosaceae","Alchemilla",7.07602,47.1529,1519.5
"16","Alchemilla microcarpa",3012058,5015,3011997,"Aphanes microcarpa (Boiss. & Reut.) Rothm.","Rosales","Rosaceae","Aphanes",NA,NA,NA
"17","Alchemilla microcarpa",3012058,5015,3011997,"Aphanes microcarpa (Boiss. & Reut.) Rothm.","Rosales","Rosaceae","Aphanes",-87.75222,33.27306,NA
"18","Alchemilla microcarpa",3012058,5015,3011997,"Aphanes microcarpa (Boiss. & Reut.) Rothm.","Rosales","Rosaceae","Aphanes",NA,NA,NA
"19","Alchemilla microcarpa",3012058,5015,3011997,"Aphanes microcarpa (Boiss. & Reut.) Rothm.","Rosales","Rosaceae","Aphanes",-84.051763,35.873825,NA
"20","Alchemilla microcarpa",3012058,5015,3011997,"Aphanes microcarpa (Boiss. & Reut.) Rothm.","Rosales","Rosaceae","Aphanes",-84.090467,35.851469,NA
"21","Alchemilla vulgaris",7890713,5015,3027437,"Alchemilla vulgaris L.","Rosales","Rosaceae","Alchemilla",13.08,47.94,NA
"22","Alchemilla vulgaris",7890713,5015,3027437,"Alchemilla vulgaris L.","Rosales","Rosaceae","Alchemilla",16.991304,58.742169,NA
"23","Alchemilla vulgaris",7890713,5015,3027437,"Alchemilla vulgaris L.","Rosales","Rosaceae","Alchemilla",12.773424,57.59336,NA
"24","Alchemilla vulgaris",7890713,5015,3027437,"Alchemilla vulgaris L.","Rosales","Rosaceae","Alchemilla",18.531727,59.49607,NA
"25","Alchemilla vulgaris",7890713,5015,3027437,"Alchemilla vulgaris L.","Rosales","Rosaceae","Alchemilla",6.986734,50.963971,NA
"26","Alchemilla fissa",3028424,5015,3027437,"Alchemilla fissa Günther & Schummel","Rosales","Rosaceae","Alchemilla",9.38641,47.22695,1507.5
"27","Alchemilla fissa",3028424,5015,3027437,"Alchemilla fissa Günther & Schummel","Rosales","Rosaceae","Alchemilla",7.86079,46.3431,2425
"28","Alchemilla fissa",3028424,5015,3027437,"Alchemilla fissa Günther & Schummel","Rosales","Rosaceae","Alchemilla",7.86079,46.3431,2466
"29","Alchemilla fissa",3028424,5015,3027437,"Alchemilla fissa Günther & Schummel","Rosales","Rosaceae","Alchemilla",13.33,47.2,NA
"30","Alchemilla fissa",3028424,5015,3027437,"Alchemilla fissa Günther & Schummel","Rosales","Rosaceae","Alchemilla",12.72,47.18,NA
"31","Alchemilla mollis",3028528,5015,3027437,"Alchemilla mollis (Buser) Rothm.","Rosales","Rosaceae","Alchemilla",11.982798,57.767431,NA
"32","Alchemilla mollis",3028528,5015,3027437,"Alchemilla mollis (Buser) Rothm.","Rosales","Rosaceae","Alchemilla",17.215781,59.056991,NA
"33","Alchemilla mollis",3028528,5015,3027437,"Alchemilla mollis (Buser) Rothm.","Rosales","Rosaceae","Alchemilla",12.908557,56.756976,NA
"34","Alchemilla mollis",3028528,5015,3027437,"Alchemilla mollis (Buser) Rothm.","Rosales","Rosaceae","Alchemilla",3.67719,51.07162,NA
"35","Alchemilla mollis",3028528,5015,3027437,"Alchemilla mollis (Buser) Rothm.","Rosales","Rosaceae","Alchemilla",11.982466,57.767235,NA
"36","Alchemilla japonica",3028646,5015,3027437,"Alchemilla japonica Nakai & Hara","Rosales","Rosaceae","Alchemilla",137.75,36.833,2300
"37","Alchemilla japonica",3028646,5015,3027437,"Alchemilla japonica Nakai & Hara","Rosales","Rosaceae","Alchemilla",NA,NA,NA
"38","Alchemilla japonica",3028646,5015,3027437,"Alchemilla japonica Nakai & Hara","Rosales","Rosaceae","Alchemilla",NA,NA,NA
"39","Alchemilla japonica",3028646,5015,3027437,"Alchemilla japonica Nakai & Hara","Rosales","Rosaceae","Alchemilla",NA,NA,NA
"40","Alchemilla japonica",3028646,5015,3027437,"Alchemilla japonica Nakai & Hara","Rosales","Rosaceae","Alchemilla",NA,NA,NA
"41","Alchemilla glomerulans",3028402,5015,3027437,"Alchemilla glomerulans Buser","Rosales","Rosaceae","Alchemilla",13.058701,63.679187,NA
"42","Alchemilla glomerulans",3028402,5015,3027437,"Alchemilla glomerulans Buser","Rosales","Rosaceae","Alchemilla",16.800409,59.045677,NA
"43","Alchemilla glomerulans",3028402,5015,3027437,"Alchemilla glomerulans Buser","Rosales","Rosaceae","Alchemilla",12.617063,63.92597,NA
"44","Alchemilla glomerulans",3028402,5015,3027437,"Alchemilla glomerulans Buser","Rosales","Rosaceae","Alchemilla",16.51037,68.672987,NA
"45","Alchemilla glomerulans",3028402,5015,3027437,"Alchemilla glomerulans Buser","Rosales","Rosaceae","Alchemilla",14.956949,67.294814,NA
"46","Alchemilla alpina",3027648,5015,3027437,"Alchemilla alpina L.","Rosales","Rosaceae","Alchemilla",6.099875,58.982836,NA
"47","Alchemilla alpina",3027648,5015,3027437,"Alchemilla alpina L.","Rosales","Rosaceae","Alchemilla",11.62066,57.698314,NA
"48","Alchemilla alpina",3027648,5015,3027437,"Alchemilla alpina L.","Rosales","Rosaceae","Alchemilla",11.622322,57.698165,NA
"49","Alchemilla alpina",3027648,5015,3027437,"Alchemilla alpina L.","Rosales","Rosaceae","Alchemilla",11.622322,57.698165,NA
"50","Alchemilla alpina",3027648,5015,3027437,"Alchemilla alpina L.","Rosales","Rosaceae","Alchemilla",11.622322,57.698165,NA
"51","Alchemilla pentaphyllea",3028493,5015,3027437,"Alchemilla pentaphyllea L.","Rosales","Rosaceae","Alchemilla",8.05511,46.29723,2141.5
"52","Alchemilla pentaphyllea",3028493,5015,3027437,"Alchemilla pentaphyllea L.","Rosales","Rosaceae","Alchemilla",7.7935,45.98351,2805
"53","Alchemilla pentaphyllea",3028493,5015,3027437,"Alchemilla pentaphyllea L.","Rosales","Rosaceae","Alchemilla",7.964472,46.019237,NA
"54","Alchemilla pentaphyllea",3028493,5015,3027437,"Alchemilla pentaphyllea L.","Rosales","Rosaceae","Alchemilla",7.34155,46.16393,2516
"55","Alchemilla pentaphyllea",3028493,5015,3027437,"Alchemilla pentaphyllea L.","Rosales","Rosaceae","Alchemilla",7.79525,46.25337,2361
"56","Alchemilla argyrophylla",3027614,5015,3027437,"Alchemilla argyrophylla Oliv.","Rosales","Rosaceae","Alchemilla",29.92527,0.38567,3435
"57","Alchemilla argyrophylla",3027614,5015,3027437,"Alchemilla argyrophylla Oliv.","Rosales","Rosaceae","Alchemilla",29.92527,0.38567,3435
"58","Alchemilla argyrophylla",3027614,5015,3027437,"Alchemilla argyrophylla Oliv.","Rosales","Rosaceae","Alchemilla",29.89393,0.37861,3920
"59","Alchemilla argyrophylla",3027614,5015,3027437,"Alchemilla argyrophylla Oliv.","Rosales","Rosaceae","Alchemilla",29.89393,0.37861,3920
"60","Alchemilla argyrophylla",3027614,5015,3027437,"Alchemilla argyrophylla Oliv.","Rosales","Rosaceae","Alchemilla",29.92527,0.38567,3435
"61","Alchemilla atriuscula",3028951,5015,3027437,"Alchemilla atriuscula S.E.Fröhner","Rosales","Rosaceae","Alchemilla",-2.002,42.867001,950
"62","Alchemilla atriuscula",3028951,5015,3027437,"Alchemilla atriuscula S.E.Fröhner","Rosales","Rosaceae","Alchemilla",-2.0167,42.8667,NA
"63","Alchemilla atriuscula",3028951,5015,3027437,"Alchemilla atriuscula S.E.Fröhner","Rosales","Rosaceae","Alchemilla",-2.0167,42.8667,NA
"64","Alchemilla atriuscula",3028951,5015,3027437,"Alchemilla atriuscula S.E.Fröhner","Rosales","Rosaceae","Alchemilla",-2.0167,42.8667,NA
"65","Alchemilla atriuscula",3028951,5015,3027437,"Alchemilla atriuscula S.E.Fröhner","Rosales","Rosaceae","Alchemilla",-2.0167,42.8667,NA
"66","Alchemilla catochnoa",3027788,5015,3027437,"Alchemilla catochnoa Rothm., 1938","Rosales","Rosaceae","Alchemilla",NA,NA,NA
"67","Alchemilla catochnoa",3027788,5015,3027437,"Alchemilla catochnoa Rothm., 1938","Rosales","Rosaceae","Alchemilla",NA,NA,NA
"68","Alchemilla catochnoa",3027788,5015,3027437,"Alchemilla catochnoa Rothm., 1938","Rosales","Rosaceae","Alchemilla",NA,NA,1600
"69","Alchemilla catochnoa",3027788,5015,3027437,"Alchemilla catochnoa Rothm., 1938","Rosales","Rosaceae","Alchemilla",NA,NA,NA
"70","Alchemilla charbonneliana",3028822,5015,3027437,"Alchemilla charbonneliana Buser ex Charb.","Rosales","Rosaceae","Alchemilla",2.68722,45.10528,1595
"71","Alchemilla charbonneliana",3028822,5015,3027437,"Alchemilla charbonneliana Buser ex Charb.","Rosales","Rosaceae","Alchemilla",2.68639,45.10417,1620
"72","Alchemilla charbonneliana",3028822,5015,3027437,"Alchemilla charbonneliana Buser ex Charb.","Rosales","Rosaceae","Alchemilla",NA,NA,1100
"73","Alchemilla charbonneliana",3028822,5015,3027437,"Alchemilla charbonneliana Buser ex Charb.","Rosales","Rosaceae","Alchemilla",NA,NA,1100
"74","Alchemilla charbonneliana",3028822,5015,3027437,"Alchemilla charbonneliana Buser ex Charb.","Rosales","Rosaceae","Alchemilla",NA,NA,NA
"75","Alchemilla colorata",3027495,5015,3027437,"Alchemilla colorata Buser","Rosales","Rosaceae","Alchemilla",10.34427,46.62167,2152.5
"76","Alchemilla colorata",3027495,5015,3027437,"Alchemilla colorata Buser","Rosales","Rosaceae","Alchemilla",7.92373,46.11796,1897
"77","Alchemilla colorata",3027495,5015,3027437,"Alchemilla colorata Buser","Rosales","Rosaceae","Alchemilla",7.9875,46.02771,2308
"78","Alchemilla colorata",3027495,5015,3027437,"Alchemilla colorata Buser","Rosales","Rosaceae","Alchemilla",7.9875,46.02771,2455
"79","Alchemilla colorata",3027495,5015,3027437,"Alchemilla colorata Buser","Rosales","Rosaceae","Alchemilla",7.9875,46.02771,2425.5
"80","Alchemilla colura",3028074,5015,3027437,"Alchemilla colura Hilliard","Rosales","Rosaceae","Alchemilla",29.625,-30.625,NA
"81","Alchemilla colura",3028074,5015,3027437,"Alchemilla colura Hilliard","Rosales","Rosaceae","Alchemilla",29.573333,-30.658056,NA
"82","Alchemilla colura",3028074,5015,3027437,"Alchemilla colura Hilliard","Rosales","Rosaceae","Alchemilla",29.625,-30.625,NA
"83","Alchemilla colura",3028074,5015,3027437,"Alchemilla colura Hilliard","Rosales","Rosaceae","Alchemilla",28.125,-30.875,NA
"84","Alchemilla colura",3028074,5015,3027437,"Alchemilla colura Hilliard","Rosales","Rosaceae","Alchemilla",29.875,-30.375,NA
"85","Alchemilla coriacea",3028252,5015,3027437,"Alchemilla coriacea Buser","Rosales","Rosaceae","Alchemilla",8.71768,46.87648,1032
"86","Alchemilla coriacea",3028252,5015,3027437,"Alchemilla coriacea Buser","Rosales","Rosaceae","Alchemilla",8.71768,46.87648,1192
"87","Alchemilla coriacea",3028252,5015,3027437,"Alchemilla coriacea Buser","Rosales","Rosaceae","Alchemilla",8.98128,46.91821,1595.5
"88","Alchemilla coriacea",3028252,5015,3027437,"Alchemilla coriacea Buser","Rosales","Rosaceae","Alchemilla",6.88798,46.20761,1387.5
"89","Alchemilla coriacea",3028252,5015,3027437,"Alchemilla coriacea Buser","Rosales","Rosaceae","Alchemilla",9.83824,46.99344,1783.5
