"","name","taxonKey","familyKey","genusKey","acceptedScientificName","order","family","genus","decimalLongitude","decimalLatitude","elevation"
"1","Allium plurifoliatum var. zhegushanense",2857496,7682,9624496,"Allium plurifoliatum var. zhegushanense J.M.Xu","Asparagales","Amaryllidaceae","Allium",NA,NA,NA
"2","Allium plurifoliatum var. zhegushanense",2857496,7682,9624496,"Allium plurifoliatum var. zhegushanense J.M.Xu","Asparagales","Amaryllidaceae","Allium",NA,NA,NA
"3","Allium plurifoliatum var. plurifoliatum",7227630,7682,9624496,"Allium plurifoliatum var. plurifoliatum","Asparagales","Amaryllidaceae","Allium",NA,NA,NA
"4","Allium robinsonii",2856710,7682,9624496,"Allium robinsonii L.F.Hend.","Asparagales","Amaryllidaceae","Allium",-119.872041,46.999241,NA
"5","Allium robinsonii",2856710,7682,9624496,"Allium robinsonii L.F.Hend.","Asparagales","Amaryllidaceae","Allium",-119.92725,46.809631,NA
"6","Allium robinsonii",2856710,7682,9624496,"Allium robinsonii L.F.Hend.","Asparagales","Amaryllidaceae","Allium",-119.3091,46.2343,NA
"7","Allium robinsonii",2856710,7682,9624496,"Allium robinsonii L.F.Hend.","Asparagales","Amaryllidaceae","Allium",-119.74575,46.64406,132
"8","Allium robinsonii",2856710,7682,9624496,"Allium robinsonii L.F.Hend.","Asparagales","Amaryllidaceae","Allium",-119.947583,46.907483,257
"9","Allium nevii",2855922,7682,9624496,"Allium nevii S.Watson","Asparagales","Amaryllidaceae","Allium",-120.299451,47.132797,NA
"10","Allium nevii",2855923,7682,9624496,"Allium nevii S.Watson","Asparagales","Amaryllidaceae","Allium",NA,NA,945
"11","Allium nevii",2855922,7682,9624496,"Allium nevii S.Watson","Asparagales","Amaryllidaceae","Allium",NA,NA,NA
"12","Allium nevii",2855922,7682,9624496,"Allium nevii S.Watson","Asparagales","Amaryllidaceae","Allium",10.671,63.434,NA
"13","Allium nevii",2855923,7682,9624496,"Allium nevii S.Watson","Asparagales","Amaryllidaceae","Allium",-120.833333,45.733333,560
"14","Allium macrum",2857410,7682,9624496,"Allium macrum S.Watson","Asparagales","Amaryllidaceae","Allium",-120.757203,46.6529,NA
"15","Allium macrum",2857410,7682,9624496,"Allium macrum S.Watson","Asparagales","Amaryllidaceae","Allium",-120.710656,45.038536,NA
"16","Allium macrum",2857410,7682,9624496,"Allium macrum S.Watson","Asparagales","Amaryllidaceae","Allium",-120.792449,45.051032,NA
"17","Allium macrum",2857410,7682,9624496,"Allium macrum S.Watson","Asparagales","Amaryllidaceae","Allium",NA,NA,NA
"18","Allium macrum",2857410,7682,9624496,"Allium macrum S.Watson","Asparagales","Amaryllidaceae","Allium",-120.17212,46.97258,799
"19","Allium madidum",2857395,7682,9624496,"Allium madidum S.Watson","Asparagales","Amaryllidaceae","Allium",-118.319444,45.438611,NA
"20","Allium madidum",2857395,7682,9624496,"Allium madidum S.Watson","Asparagales","Amaryllidaceae","Allium",-118.319556,45.438611,NA
"21","Allium madidum",2857395,7682,9624496,"Allium madidum S.Watson","Asparagales","Amaryllidaceae","Allium",-118.31956,45.4386,1190
"22","Allium madidum",2857395,7682,9624496,"Allium madidum S.Watson","Asparagales","Amaryllidaceae","Allium",-118.03333,46.01667,NA
