"","name","taxonKey","familyKey","genusKey","acceptedScientificName","order","family","genus","decimalLongitude","decimalLatitude","elevation"
"1","Alnus incana subsp. tenuifolia",2876460,4688,2876099,"Alnus incana subsp. tenuifolia (Nutt.) Breitung","Fagales","Betulaceae","Alnus",-135.089147,60.697336,NA
"2","Alnus incana subsp. tenuifolia",2876460,4688,2876099,"Alnus incana subsp. tenuifolia (Nutt.) Breitung","Fagales","Betulaceae","Alnus",-147.572683,64.900197,NA
"3","Alnus incana subsp. tenuifolia",2876460,4688,2876099,"Alnus incana subsp. tenuifolia (Nutt.) Breitung","Fagales","Betulaceae","Alnus",-147.825547,64.870033,NA
"4","Alnus incana subsp. tenuifolia",2876460,4688,2876099,"Alnus incana subsp. tenuifolia (Nutt.) Breitung","Fagales","Betulaceae","Alnus",-121.317048,44.043196,NA
"5","Alnus incana subsp. tenuifolia",2876460,4688,2876099,"Alnus incana subsp. tenuifolia (Nutt.) Breitung","Fagales","Betulaceae","Alnus",-117.66469,49.430363,NA
"6","Alnus incana subsp. rugosa",2876469,4688,2876099,"Alnus incana subsp. rugosa (Du Roi) R.T.Clausen","Fagales","Betulaceae","Alnus",-63.580642,44.914672,NA
"7","Alnus incana subsp. rugosa",2876469,4688,2876099,"Alnus incana subsp. rugosa (Du Roi) R.T.Clausen","Fagales","Betulaceae","Alnus",-86.923848,46.394509,NA
"8","Alnus incana subsp. rugosa",2876469,4688,2876099,"Alnus incana subsp. rugosa (Du Roi) R.T.Clausen","Fagales","Betulaceae","Alnus",-93.39909,45.36259,NA
"9","Alnus incana subsp. rugosa",2876469,4688,2876099,"Alnus incana subsp. rugosa (Du Roi) R.T.Clausen","Fagales","Betulaceae","Alnus",-64.848525,46.12762,NA
"10","Alnus incana subsp. rugosa",2876469,4688,2876099,"Alnus incana subsp. rugosa (Du Roi) R.T.Clausen","Fagales","Betulaceae","Alnus",-93.153283,44.777583,NA
"11","Alnus incana subsp. kolaensis",2876390,4688,2876099,"Alnus incana subsp. kolaensis (Orlova) Á.Löve & D.Löve","Fagales","Betulaceae","Alnus",30.066361,69.472903,NA
"12","Alnus incana subsp. kolaensis",2876390,4688,2876099,"Alnus incana subsp. kolaensis (Orlova) Á.Löve & D.Löve","Fagales","Betulaceae","Alnus",23.412441,70.030798,NA
"13","Alnus incana subsp. kolaensis",2876390,4688,2876099,"Alnus incana subsp. kolaensis (Orlova) Á.Löve & D.Löve","Fagales","Betulaceae","Alnus",20.465661,67.113791,NA
"14","Alnus incana subsp. kolaensis",2876390,4688,2876099,"Alnus incana subsp. kolaensis (Orlova) Á.Löve & D.Löve","Fagales","Betulaceae","Alnus",9.2733,63.1627,445
"15","Alnus incana subsp. kolaensis",2876390,4688,2876099,"Alnus incana subsp. kolaensis (Orlova) Á.Löve & D.Löve","Fagales","Betulaceae","Alnus",23.753363,67.012512,NA
"16","Alnus incana subsp. incana",7226596,4688,2876099,"Alnus incana subsp. incana","Fagales","Betulaceae","Alnus",12.052903,57.699807,NA
"17","Alnus incana subsp. incana",7226596,4688,2876099,"Alnus incana subsp. incana","Fagales","Betulaceae","Alnus",18.385172,59.560762,NA
"18","Alnus incana subsp. incana",7226596,4688,2876099,"Alnus incana subsp. incana","Fagales","Betulaceae","Alnus",21.731262,66.03075,NA
"19","Alnus incana subsp. incana",7226596,4688,2876099,"Alnus incana subsp. incana","Fagales","Betulaceae","Alnus",12.937519,56.589071,NA
"20","Alnus incana subsp. incana",7226596,4688,2876099,"Alnus incana subsp. incana","Fagales","Betulaceae","Alnus",17.322268,62.4022,NA
"21","Alnus rhombifolia",2876207,4688,2876099,"Alnus rhombifolia Nutt.","Fagales","Betulaceae","Alnus",-121.279813,38.749949,NA
"22","Alnus rhombifolia",2876207,4688,2876099,"Alnus rhombifolia Nutt.","Fagales","Betulaceae","Alnus",-121.263149,38.755732,NA
"23","Alnus rhombifolia",2876207,4688,2876099,"Alnus rhombifolia Nutt.","Fagales","Betulaceae","Alnus",-117.549514,33.752853,NA
"24","Alnus rhombifolia",2876207,4688,2876099,"Alnus rhombifolia Nutt.","Fagales","Betulaceae","Alnus",-119.07703,34.440617,NA
"25","Alnus rhombifolia",2876207,4688,2876099,"Alnus rhombifolia Nutt.","Fagales","Betulaceae","Alnus",-122.151105,37.927882,NA
"26","Alnus oblongifolia",2876516,4688,2876099,"Alnus oblongifolia Torr.","Fagales","Betulaceae","Alnus",-111.771834,34.518329,NA
"27","Alnus oblongifolia",2876516,4688,2876099,"Alnus oblongifolia Torr.","Fagales","Betulaceae","Alnus",-111.705719,34.539448,NA
"28","Alnus oblongifolia",2876516,4688,2876099,"Alnus oblongifolia Torr.","Fagales","Betulaceae","Alnus",-111.096503,34.337419,NA
"29","Alnus oblongifolia",2876516,4688,2876099,"Alnus oblongifolia Torr.","Fagales","Betulaceae","Alnus",-110.682673,32.399111,NA
"30","Alnus oblongifolia",2876516,4688,2876099,"Alnus oblongifolia Torr.","Fagales","Betulaceae","Alnus",-112.343502,34.403022,NA
"31","Alnus acuminata subsp. arguta",2876135,4688,2876099,"Alnus acuminata subsp. arguta (Schltdl.) Furlow","Fagales","Betulaceae","Alnus",-92.660135,16.720088,NA
"32","Alnus acuminata subsp. arguta",2876135,4688,2876099,"Alnus acuminata subsp. arguta (Schltdl.) Furlow","Fagales","Betulaceae","Alnus",-92.659467,16.720888,NA
"33","Alnus acuminata subsp. arguta",2876135,4688,2876099,"Alnus acuminata subsp. arguta (Schltdl.) Furlow","Fagales","Betulaceae","Alnus",-92.659179,16.720912,NA
"34","Alnus acuminata subsp. arguta",2876135,4688,2876099,"Alnus acuminata subsp. arguta (Schltdl.) Furlow","Fagales","Betulaceae","Alnus",-105.2405,23.777582,NA
"35","Alnus acuminata subsp. arguta",2876135,4688,2876099,"Alnus acuminata subsp. arguta (Schltdl.) Furlow","Fagales","Betulaceae","Alnus",-92.615976,16.706458,NA
"36","Alnus jorullensis subsp. jorullensis",5939252,4688,2876099,"Alnus jorullensis subsp. jorullensis","Fagales","Betulaceae","Alnus",-97.449361,19.645778,2897
"37","Alnus jorullensis subsp. jorullensis",5939252,4688,2876099,"Alnus jorullensis subsp. jorullensis","Fagales","Betulaceae","Alnus",-97.326111,19.077778,3197
"38","Alnus jorullensis subsp. jorullensis",4097687,4688,2876099,"Alnus jorullensis subsp. jorullensis","Fagales","Betulaceae","Alnus",-97.176166,19.616972,2482
"39","Alnus jorullensis subsp. jorullensis",5939252,4688,2876099,"Alnus jorullensis subsp. jorullensis","Fagales","Betulaceae","Alnus",-97.156111,19.530556,3250
"40","Alnus jorullensis subsp. jorullensis",4097687,4688,2876099,"Alnus jorullensis subsp. jorullensis","Fagales","Betulaceae","Alnus",-96.865833,17.731417,819
"41","Alnus rubra",2876176,4688,2876099,"Alnus rubra Bong.","Fagales","Betulaceae","Alnus",-123.992675,40.35022,NA
"42","Alnus rubra",2876176,4688,2876099,"Alnus rubra Bong.","Fagales","Betulaceae","Alnus",-135.360033,57.130845,NA
"43","Alnus rubra",2876176,4688,2876099,"Alnus rubra Bong.","Fagales","Betulaceae","Alnus",-123.006606,48.089422,NA
"44","Alnus rubra",2876176,4688,2876099,"Alnus rubra Bong.","Fagales","Betulaceae","Alnus",-123.721431,44.346033,NA
"45","Alnus rubra",2876176,4688,2876099,"Alnus rubra Bong.","Fagales","Betulaceae","Alnus",-123.333718,48.496925,NA
"46","Alnus japonica",2876196,4688,2876099,"Alnus japonica (Thunb.) Steud.","Fagales","Betulaceae","Alnus",133.161078,43.112464,NA
"47","Alnus japonica",2876196,4688,2876099,"Alnus japonica (Thunb.) Steud.","Fagales","Betulaceae","Alnus",133.162756,43.110375,NA
"48","Alnus japonica",2876196,4688,2876099,"Alnus japonica (Thunb.) Steud.","Fagales","Betulaceae","Alnus",131.799947,43.478929,NA
"49","Alnus japonica",2876196,4688,2876099,"Alnus japonica (Thunb.) Steud.","Fagales","Betulaceae","Alnus",133.07365,42.782283,NA
"50","Alnus japonica",2876196,4688,2876099,"Alnus japonica (Thunb.) Steud.","Fagales","Betulaceae","Alnus",131.798768,43.477662,NA
