"","name","taxonKey","familyKey","genusKey","acceptedScientificName","order","family","genus","decimalLongitude","decimalLatitude","elevation"
"1","Alophia silvestris",5297318,7698,2745644,"Alophia silvestris (Loes.) Goldblatt","Asparagales","Iridaceae","Alophia",-88.98749,16.906392,NA
"2","Alophia silvestris",5297318,7698,2745644,"Alophia silvestris (Loes.) Goldblatt","Asparagales","Iridaceae","Alophia",-88.434998,17.266508,NA
"3","Alophia silvestris",5297318,7698,2745644,"Alophia silvestris (Loes.) Goldblatt","Asparagales","Iridaceae","Alophia",-88.50669,17.374273,NA
"4","Alophia silvestris",5297318,7698,2745644,"Alophia silvestris (Loes.) Goldblatt","Asparagales","Iridaceae","Alophia",-88.474368,17.296737,NA
"5","Alophia silvestris",5297318,7698,2745644,"Alophia silvestris (Loes.) Goldblatt","Asparagales","Iridaceae","Alophia",-88.360937,17.595565,NA
"6","Alophia veracruzana",5297315,7698,2745644,"Alophia veracruzana Goldblatt & T.M.Howard","Asparagales","Iridaceae","Alophia",-97.354206,20.969476,NA
"7","Alophia veracruzana",5297315,7698,2745644,"Alophia veracruzana Goldblatt & T.M.Howard","Asparagales","Iridaceae","Alophia",-97.353677,20.968222,NA
"8","Alophia veracruzana",5297315,7698,2745644,"Alophia veracruzana Goldblatt & T.M.Howard","Asparagales","Iridaceae","Alophia",-97.35411,20.968785,NA
"9","Alophia veracruzana",5297315,7698,2745644,"Alophia veracruzana Goldblatt & T.M.Howard","Asparagales","Iridaceae","Alophia",-97.35401,20.969934,NA
"10","Alophia veracruzana",5297315,7698,2745644,"Alophia veracruzana Goldblatt & T.M.Howard","Asparagales","Iridaceae","Alophia",-97.35396,20.967528,NA
"11","Alophia drummondii",5297308,7698,2745644,"Alophia drummondii (Graham) R.C.Foster","Asparagales","Iridaceae","Alophia",-97.464438,26.606133,NA
"12","Alophia drummondii",5297308,7698,2745644,"Alophia drummondii (Graham) R.C.Foster","Asparagales","Iridaceae","Alophia",-93.158184,30.988738,NA
"13","Alophia drummondii",5297308,7698,2745644,"Alophia drummondii (Graham) R.C.Foster","Asparagales","Iridaceae","Alophia",-96.816912,30.657663,NA
"14","Alophia drummondii",5297308,7698,2745644,"Alophia drummondii (Graham) R.C.Foster","Asparagales","Iridaceae","Alophia",-96.589683,29.395978,NA
"15","Alophia drummondii",5297308,7698,2745644,"Alophia drummondii (Graham) R.C.Foster","Asparagales","Iridaceae","Alophia",-97.487672,26.573545,NA
"16","Alophia medusa",5297316,7698,2745644,"Alophia medusa (Baker) Goldblatt","Asparagales","Iridaceae","Alophia",-46.3825,-11.787778,71
"17","Alophia medusa",5297316,7698,2745644,"Alophia medusa (Baker) Goldblatt","Asparagales","Iridaceae","Alophia",-46.709444,-11.7575,62
"18","Alophia medusa",5297316,7698,2745644,"Alophia medusa (Baker) Goldblatt","Asparagales","Iridaceae","Alophia",-46.709444,-11.7575,31
"19","Alophia medusa",5297316,7698,2745644,"Alophia medusa (Baker) Goldblatt","Asparagales","Iridaceae","Alophia",-46.384525,-11.790183,NA
"20","Alophia medusa",5297316,7698,2745644,"Alophia medusa (Baker) Goldblatt","Asparagales","Iridaceae","Alophia",-46.709444,-11.7575,62
"21","Alophia intermedia",5297317,7698,2745644,"Alophia intermedia (Ravenna) Goldblatt","Asparagales","Iridaceae","Alophia",NA,NA,61
