Acanthisitta chloris
Acrobatornis fonsecai
Acropternis orthonyx
Agriornis albicauda
Agriornis lividus
Agriornis micropterus
Agriornis montanus
Agriornis murinus
Akletos goeldii
Akletos melanoceps
Alectrurus risora
Alectrurus tricolor
Ammonastes pelzelni
Ampelioides tschudii
Ampelion rubrocristatus
Ampelion rufaxilla
Ampelornis griseiceps
Anabacerthia amaurotis
Anabacerthia lichtensteini
Anabacerthia ruficaudata
Anabacerthia striaticollis
Anabacerthia variegaticeps
Anabazenops dorsalis
Anabazenops fuscus
Anairetes alpinus
Anairetes fernandezianus
Anairetes flavirostris
Anairetes nigrocristatus
Anairetes parulus
Anairetes reguloides
Ancistrops strigilatus
Antilophia bokermanni
Antilophia galeata
Anumbius annumbi
Aphanotriccus audax
Aphanotriccus capitalis
Aphrastura masafuerae
Aphrastura spinicauda
Aprositornis disjuncta
Aratinga aurea
Artamus leucorynchus
Arundinicola leucocephala
Asthenes anthoides
Asthenes vilcabambae
Asthenes baeri
Asthenes berlepschi
Asthenes coryi
Asthenes dorbignyi
Asthenes flammulata
Asthenes fuliginosa
Asthenes griseomurina
Asthenes harterti
Asthenes helleri
Asthenes heterura
Asthenes hudsoni
Asthenes humilis
Asthenes luizae
Asthenes maculicauda
Asthenes modesta
Asthenes moreirae
Asthenes ottonis
Asthenes palpebralis
Asthenes perijana
Asthenes pudibunda
Asthenes pyrrholeuca
Asthenes sclateri
Asthenes urubambensis
Asthenes virgata
Asthenes wyatti
Atalotriccus pilaris
Attila bolivianus
Attila cinnamomeus
Attila citriniventris
Attila phoenicurus
Attila rufus
Attila spadiceus
Attila torridus
Automolus infuscatus
Automolus lammi
Automolus leucophthalmus
Automolus melanopezus
Automolus ochrolaemus
Automolus paraensis
Automolus rufipileatus
Automolus subulatus
Batara cinerea
Berlepschia rikeri
Biatas nigropectus
Calyptomena hosii
Calyptomena viridis
Calyptomena whiteheadi
Calyptura cristata
Camptostoma imberbe
Camptostoma obsoletum
Campylorhamphus falcularius
Campylorhamphus procurvoides
Campylorhamphus pusillus
Campylorhamphus trochilirostris
Capsiempis flaveola
Cariama cristata
Carpodectes antoniae
Carpodectes hopkei
Carpodectes nitidus
Carpornis cucullata
Carpornis melanocephala
Casiornis fuscus
Casiornis rufus
Cephalopterus glabricollis
Cephalopterus ornatus
Cephalopterus penduliger
Ceratopipra chloromeros
Ceratopipra cornuta
Ceratopipra erythrocephala
Ceratopipra mentalis
Ceratopipra rubrocapilla
Cercomacra brasiliana
Cercomacra carbonaria
Cercomacra cinerascens
Cercomacra ferdinandi
Cercomacra manu
Cercomacra melanaria
Cercomacra nigricans
Cercomacroides nigrescens
Cercomacroides laeta
Cercomacroides parkeri
Cercomacra serva
Cercomacroides tyrannina
Certhia familiaris
Certhiasomus stictolaemus
Certhiaxis cinnamomeus
Certhiaxis mustelinus
Chamaeza campanisona
Chamaeza meruloides
Chamaeza mollissima
Chamaeza nobilis
Chamaeza ruficauda
Chamaeza turdina
Chiroxiphia boliviana
Chiroxiphia caudata
Chiroxiphia lanceolata
Chiroxiphia linearis
Chiroxiphia pareola
Chlamydera nuchalis
Chloropipo flavicapilla
Chloropipo unicolor
Cichlocolaptes leucophrus
Cichlocolaptes mazarbarnetti
Cinclodes albidiventris
Cinclodes albiventris
Cinclodes antarcticus
Cinclodes aricomae
Cinclodes atacamensis
Cinclodes comechingonus
Cinclodes excelsior
Cinclodes fuscus
Cinclodes nigrofumosus
Cinclodes olrogi
Cinclodes oustaleti
Cinclodes pabsti
Cinclodes palliatus
Cinclodes patagonicus
Cinclodes taczanowskii
Clibanornis dendrocolaptoides
Clibanornis erythrocephalus
Clibanornis rectirostris
Clibanornis rubiginosus
Clibanornis rufipectus
Clytoctantes alixii
Clytoctantes atrogularis
Cnemarchus erythropygius
Cnemotriccus fuscatus
Cnipodectes subbrunneus
Cnipodectes superrufus
Colonia colonus
Colorhamphus parvirostris
Conioptilon mcilhennyi
Conopias albovittatus
Conopias cinchoneti
Conopias parvus
Conopias trivirgatus
Conopophaga ardesiaca
Conopophaga aurita
Conopophaga castaneiceps
Conopophaga cearae
Conopophaga lineata
Conopophaga melanogaster
Conopophaga melanops
Conopophaga peruviana
Conopophaga roberti
Contopus albogularis
Contopus caribaeus
Contopus cinereus
Contopus cooperi
Contopus fumigatus
Contopus hispaniolensis
Contopus latirostris
Contopus lugubris
Contopus nigrescens
Contopus ochraceus
Contopus pallidus
Contopus pertinax
Contopus sordidulus
Contopus virens
Corapipo altera
Corapipo gutturalis
Corapipo leucorrhoa
Corvus brachyrhynchos
Corvus coronoides
Corydon sumatranus
Coryphistera alaudina
Corythopis delalandi
Corythopis torquatus
Cotinga amabilis
Cotinga cayana
Cotinga cotinga
Cotinga maculata
Cotinga maynana
Cotinga nattererii
Cotinga ridgwayi
Cranioleuca albicapilla
Cranioleuca albiceps
Cranioleuca antisiensis
Cranioleuca baroni
Cranioleuca curtata
Cranioleuca demissa
Cranioleuca vulpina
Cranioleuca erythrops
Cranioleuca gutturata
